"Symbol","Scientific.Name","Common.Name","BPS_MODEL","SWOPAG","Blue.Book.Plant.Association","P.A.Blue.Book.PAG.Name","Plant.Association","PAG.Name"
"PUTR2","Purshia tridentata","Antelope bitterbrush","11060_1_8_9",NA,NA,NA,NA,NA
"PRVI","Prunus virginiana","Chokecherry","11060_1_8_9",NA,NA,NA,NA,NA
"AMELA","Amelanchier","Serviceberry","11060_10_19",NA,NA,NA,NA,NA
"PURSH","Purshia","Bitterbrush","11060_10_19",NA,NA,NA,NA,NA
"SYMPH","Symphoricarpos","Snowberry","11060_10_19",NA,NA,NA,NA,NA
"PRUNU","Prunus","Plum","11060_10_19",NA,NA,NA,NA,NA
"PRVI","Prunus virginiana","Chokecherry","11060_18",NA,NA,NA,NA,NA
"PREM","Prunus emarginata","Bitter cherry","11060_18",NA,NA,NA,NA,NA
"ACGL","Acer glabrum","Rocky mountain maple","11060_18",NA,NA,NA,NA,NA
"PHMA5","Physocarpus malvaceus","","11060_18",NA,NA,NA,NA,NA
"SYOR2","Symphoricarpos oreophilus","Mountain snowberry","11060_18",NA,NA,NA,NA,NA
"FEID","Festuca idahoensis","Idaho fescue","11060_18",NA,NA,NA,NA,NA
"CARU","Calamagrostis rubescens","Pinegrass","11060_18",NA,NA,NA,NA,NA
"CAGE","Carex geophila","White mountain sedge","11060_18",NA,NA,NA,NA,NA
"AMELA","Amelanchier","Serviceberry","11060_20_21_29",NA,NA,NA,NA,NA
"PURSH","Purshia","Bitterbrush","11060_20_21_29",NA,NA,NA,NA,NA
"SYMPH","Symphoricarpos","Snowberry","11060_20_21_29",NA,NA,NA,NA,NA
"PRUNU","Prunus","Plum","11060_20_21_29",NA,NA,NA,NA,NA
"RIBES","Ribes","Currant","11060_22",NA,NA,NA,NA,NA
"AMELA","Amelanchier","Serviceberry","11060_22",NA,NA,NA,NA,NA
"SYMPH","Symphoricarpos","Snowberry","11060_22",NA,NA,NA,NA,NA
"PRUNU","Prunus","Plum","11060_22",NA,NA,NA,NA,NA
"POTR5","Populus tremuloides","Quaking aspen","11060_22",NA,NA,NA,NA,NA
"QUGA","Quercus gambelii","Gambel oak","11070_13",NA,NA,NA,NA,NA
"AMELA","Amelanchier","Serviceberry","11070_13",NA,NA,NA,NA,NA
"ARTR2","Artemisia tridentata","Big sagebrush","11070_13",NA,NA,NA,NA,NA
"PRVI","Prunus virginiana","Chokecherry","11070_13",NA,NA,NA,NA,NA
"PURSH","Purshia","Bitterbrush","11070_13",NA,NA,NA,NA,NA
"SYMPH","Symphoricarpos","Snowberry","11070_13",NA,NA,NA,NA,NA
"QUGA","Quercus gambelii","Gambel oak","11070_15",NA,NA,NA,NA,NA
"AMUT","Amelanchier utahensis","Utah serviceberry","11070_15",NA,NA,NA,NA,NA
"CAGE2","Carex geyeri","Geyer’s sedge","11070_15",NA,NA,NA,NA,NA
"ACLE9","Achnatherum lettermanii","Letterman’s needlegrass","11070_15",NA,NA,NA,NA,NA
"AMAL2","Amelanchier alnifolia","Saskatoon serviceberry","11070_15",NA,NA,NA,NA,NA
"PUTR2","Purshia tridentata","Antelope bitterbrush","11070_15",NA,NA,NA,NA,NA
"RONE","Robinia neomexicana","New Mexico locust","11070_15",NA,NA,NA,NA,NA
"PRVI","Prunus virginiana","Chokecherry","11070_15",NA,NA,NA,NA,NA
"QUGA","Quercus gambelii","Gambel oak","11070_17",NA,NA,NA,NA,NA
"ARTR2","Artemisia tridentata","Big sagebrush","11070_17",NA,NA,NA,NA,NA
"PRVI","Prunus virginiana","Chokecherry","11070_17",NA,NA,NA,NA,NA
"PURSH","Purshia","Bitterbrush","11070_17",NA,NA,NA,NA,NA
"SYOR2","Symphoricarpos oreophilus","Mountain snowberry","11070_17",NA,NA,NA,NA,NA
"QUGA","Quercus gambelii","Gambel oak","11070_23_24",NA,NA,NA,NA,NA
"AMUT","Amelanchier utahensis","Utah serviceberry","11070_23_24",NA,NA,NA,NA,NA
"CAGE2","Carex geyeri","Geyer's sedge","11070_23_24",NA,NA,NA,NA,NA
"STLE4","","","11070_23_24",NA,NA,NA,NA,NA
"QUGA","Quercus gambelii","Gambel oak","11070_25_28",NA,NA,NA,NA,NA
"AMUT","Amelanchier utahensis","Utah serviceberry","11070_25_28",NA,NA,NA,NA,NA
"CAGE2","Carex geyeri","Geyer’s sedge","11070_25_28",NA,NA,NA,NA,NA
"ACLE9","Achnatherum lettermanii","Letterman’s needlegrass","11070_25_28",NA,NA,NA,NA,NA
"AMAL2","Amelanchier alnifolia","Saskatoon serviceberry","11070_25_28",NA,NA,NA,NA,NA
"PUTR2","Purshia tridentata","Antelope bitterbrush","11070_25_28",NA,NA,NA,NA,NA
"RONE","Robinia neomexicana","New Mexico locust","11070_25_28",NA,NA,NA,NA,NA
"PRVI","Prunus virginiana","Chokecherry","11070_25_28",NA,NA,NA,NA,NA
"QUGA","Quercus gambelii","Gambel oak","11070_27_33",NA,NA,NA,NA,NA
"AMUT","Amelanchier utahensis","Utah serviceberry","11070_27_33",NA,NA,NA,NA,NA
"CAGE","Carex geophila","White mountain sedge","11070_27_33",NA,NA,NA,NA,NA
"ACHNA","Achnatherum","Needlegrass","11070_27_33",NA,NA,NA,NA,NA
"RONE","Robinia neomexicana","New Mexico locust","11070_27_33",NA,NA,NA,NA,NA
"PRVI","Prunus virginiana","Chokecherry","11070_27_33",NA,NA,NA,NA,NA
"SYMPH","Symphoricarpos","Snowberry","11070_27_33",NA,NA,NA,NA,NA
"QUGA","Quercus gambelii","Gambel oak","11071_16",NA,NA,NA,NA,NA
"QUGA","Quercus gambelii","Gambel oak","11072_16",NA,NA,NA,NA,NA
"QUJO3","Quercus john-tuckeri","Tucker oak","11080_17",NA,NA,NA,NA,NA
"QUCO7","Quercus cornelius-mulleri","Muller oak","11080_17",NA,NA,NA,NA,NA
"QUBE5","Quercus berberidifolia","Scrub oak","11080_17",NA,NA,NA,NA,NA
"ARPA6","Arctostaphylos patula","Greenleaf manzanita","11080_17",NA,NA,NA,NA,NA
"ARPU5","Arctostaphylos pungens","Pointleaf manzanita","11080_17",NA,NA,NA,NA,NA
"ARGL4","Arctostaphylos glauca","Bigberry manzanita","11080_17",NA,NA,NA,NA,NA
"CEMOG","Cercocarpus montanus var. glaber","Birchleaf mountain-mahogany","11080_17",NA,NA,NA,NA,NA
"GAFL2","Garrya flavescens","Ashy silktassel","11080_17",NA,NA,NA,NA,NA
"QUJO3","Quercus john-tuckeri","Tucker oak","11080_4_5_13_14_15_24_25",NA,NA,NA,NA,NA
"QUCO7","Quercus cornelius-mulleri","Muller oak","11080_4_5_13_14_15_24_25",NA,NA,NA,NA,NA
"QUBE5","Quercus berberidifolia","Scrub oak","11080_4_5_13_14_15_24_25",NA,NA,NA,NA,NA
"ARPA6","Arctostaphylos patula","Greenleaf manzanita","11080_4_5_13_14_15_24_25",NA,NA,NA,NA,NA
"ARPU5","Arctostaphylos pungens","Pointleaf manzanita","11080_4_5_13_14_15_24_25",NA,NA,NA,NA,NA
"ARGL4","Arctostaphylos glauca","Bigberry manzanita","11080_4_5_13_14_15_24_25",NA,NA,NA,NA,NA
"CEMOG","Cercocarpus montanus var. glaber","Birchleaf mountain mahogany","11080_4_5_13_14_15_24_25",NA,NA,NA,NA,NA
"GAFL2","Garrya flavescens","Ashy silktassel","11080_4_5_13_14_15_24_25",NA,NA,NA,NA,NA
"PARKI2","Parkinsonia","Paloverde","11090_14",NA,NA,NA,NA,NA
"CAGI10","Carnegiea gigantea","Saguaro","11090_14",NA,NA,NA,NA,NA
"FEROC","Ferocactus","Barrel cactus","11090_14",NA,NA,NA,NA,NA
"FOSP2","Fouquieria splendens","Ocotillo","11090_14",NA,NA,NA,NA,NA
"ACGR","Acacia greggii","Catclaw acacia","11090_14",NA,NA,NA,NA,NA
"PRVE","Prosopis velutina","Velvet mesquite","11090_14",NA,NA,NA,NA,NA
"AMDE4","Ambrosia deltoidea","Triangle burr ragweed","11090_14",NA,NA,NA,NA,NA
"PARKI2","Parkinsonia","Paloverde","11090_15_25",NA,NA,NA,NA,NA
"CAGI10","Carnegiea gigantea","Saguaro","11090_15_25",NA,NA,NA,NA,NA
"FEROC","Ferocactus","Barrel cactus","11090_15_25",NA,NA,NA,NA,NA
"FOSP2","Fouquieria splendens","Ocotillo","11090_15_25",NA,NA,NA,NA,NA
"ACGR","Acacia greggii","Catclaw acacia","11090_15_25",NA,NA,NA,NA,NA
"PRVE","Prosopis velutina","Velvet mesquite","11090_15_25",NA,NA,NA,NA,NA
"PARKI2","Parkinsonia","Paloverde","11090_4_13",NA,NA,NA,NA,NA
"CAGI10","Carnegiea gigantea","Saguaro","11090_4_13",NA,NA,NA,NA,NA
"FEROC","Ferocactus","Barrel cactus","11090_4_13",NA,NA,NA,NA,NA
"FOSP2","Fouquieria splendens","Ocotillo","11090_4_13",NA,NA,NA,NA,NA
"ACGR","Acacia greggii","Catclaw acacia","11090_4_13",NA,NA,NA,NA,NA
"PRVE","Prosopis velutina","Velvet mesquite","11090_4_13",NA,NA,NA,NA,NA
"ADFA","Adenostoma fasciculatum","Chamise","11100_4",NA,NA,NA,NA,NA
"CEME","Ceanothus megacarpus","Bigpod ceanothus","11100_4",NA,NA,NA,NA,NA
"CEGR","Ceanothus greggii","Desert ceanothus","11100_4",NA,NA,NA,NA,NA
"CELE","Ceanothus lemmonii","Lemmon's ceanothus","11100_4",NA,NA,NA,NA,NA
"ARGL4","Arctostaphylos glauca","Bigberry manzanita","11100_4",NA,NA,NA,NA,NA
"ADSP","Adenostoma sparsifolium","Redshank","11100_4",NA,NA,NA,NA,NA
"YUWH","Yucca whipplei","Chaparral yucca","11100_4",NA,NA,NA,NA,NA
"PRGL2","Prosopis glandulosa","Honey mesquite","11110_26",NA,NA,NA,NA,NA
"SCHIZ4","Schizachyrium","Little bluestem","11110_26",NA,NA,NA,NA,NA
"BOCU","Bouteloua curtipendula","Sideoats grama","11110_26",NA,NA,NA,NA,NA
"PRGL2","Prosopis glandulosa","Honey mesquite","11110_27_33",NA,NA,NA,NA,NA
"SCHIZ4","Schizachyrium","Little bluestem","11110_27_33",NA,NA,NA,NA,NA
"BOCU","Bouteloua curtipendula","Sideoats grama","11110_27_33",NA,NA,NA,NA,NA
"PRGL2","Prosopis glandulosa","Honey mesquite","11110_32_35",NA,NA,NA,NA,NA
"SCHIZ4","Schizachyrium","Little bluestem","11110_32_35",NA,NA,NA,NA,NA
"BOCU","Bouteloua curtipendula","Sideoats grama","11110_32_35",NA,NA,NA,NA,NA
"PRGL2","Prosopis glandulosa","Honey mesquite","11110_34",NA,NA,NA,NA,NA
"SCHIZ4","Schizachyrium","Little bluestem","11110_34",NA,NA,NA,NA,NA
"BOCU","Bouteloua curtipendula","Sideoats grama","11110_34",NA,NA,NA,NA,NA
"QULO","Quercus lobata","California white oak","11120_4_5",NA,NA,NA,NA,NA
"QUDO","Quercus douglasii","Blue oak","11120_4_5",NA,NA,NA,NA,NA
"QUWI2","Quercus wislizeni","Interior live oak","11120_4_5",NA,NA,NA,NA,NA
"QUAG","Quercus agrifolia","California live oak","11120_4_5",NA,NA,NA,NA,NA
"AECA","Aesculus californica","California buckeye","11120_4_5",NA,NA,NA,NA,NA
"RHAMN","Rhamnus","Buckthorn","11120_4_5",NA,NA,NA,NA,NA
"TODI","Toxicodendron diversilobum","Pacific poison oak","11120_4_5",NA,NA,NA,NA,NA
"HEAR5","Heteromeles arbutifolia","Toyon","11120_4_5",NA,NA,NA,NA,NA
"QUAG","Quercus agrifolia","California live oak","11130_3",NA,NA,NA,NA,NA
"HETER5","Heteromeles","Toyon","11130_3",NA,NA,NA,NA,NA
"TOXIC","Toxicodendron","Poison oak","11130_3",NA,NA,NA,NA,NA
"BRCA5","Bromus carinatus","California brome","11130_3",NA,NA,NA,NA,NA
"RUUR","Rubus ursinus","California blackberry","11130_3",NA,NA,NA,NA,NA
"NAPU4","Nassella pulchra","Purple tussockgrass","11130_3",NA,NA,NA,NA,NA
"QUAG","Quercus agrifolia","California live oak","11130_4",NA,NA,NA,NA,NA
"HETER5","Heteromeles","Toyon","11130_4",NA,NA,NA,NA,NA
"TODI","Toxicodendron diversilobum","Pacific poison oak","11130_4",NA,NA,NA,NA,NA
"BRCA5","Bromus carinatus","California brome","11130_4",NA,NA,NA,NA,NA
"RUUR","Rubus ursinus","California blackberry","11130_4",NA,NA,NA,NA,NA
"NAPU4","Nassella pulchra","Purple tussockgrass","11130_4",NA,NA,NA,NA,NA
"QUDO","Quercus douglasii","Blue oak","11140_3_6_7",NA,NA,NA,NA,NA
"QUWI","Quercus willdenowiana","Quercus willdenowiana","11140_3_6_7",NA,NA,NA,NA,NA
"QUAG","Quercus agrifolia","California live oak","11140_3_6_7",NA,NA,NA,NA,NA
"QULO","Quercus lobate","California white oak","11140_3_6_7",NA,NA,NA,NA,NA
"AECA","Aesculus californica","California buckeye","11140_3_6_7",NA,NA,NA,NA,NA
"ARCTO3","Arctostaphylos","Manzanita","11140_3_6_7",NA,NA,NA,NA,NA
"CECA4","Cercis canadensis","Eastern redbud","11140_3_6_7",NA,NA,NA,NA,NA
"CECU","Ceanothus cuneatus","Buckbrush","11140_3_6_7",NA,NA,NA,NA,NA
"QUDO","Quercus douglasii","Blue oak","11140_4_5",NA,NA,NA,NA,NA
"QUWI","Quercus willdenowiana","Quercus willdenowiana","11140_4_5",NA,NA,NA,NA,NA
"QUAG","Quercus agrifolia","California live oak","11140_4_5",NA,NA,NA,NA,NA
"QULO","Quercus lobata","California white oak","11140_4_5",NA,NA,NA,NA,NA
"AECA","Aesculus californica","California buckeye","11140_4_5",NA,NA,NA,NA,NA
"TODI","Toxicodendron diversilobum","Pacific poison oak","11140_4_5",NA,NA,NA,NA,NA
"RHIL","Rhamnus ilicifolia","Hollyleaf redberry","11140_4_5",NA,NA,NA,NA,NA
"CECU","Ceanothus cuneatus","Buckbrush","11140_4_5",NA,NA,NA,NA,NA
"JUOS","Juniperus osteosperma","Utah juniper","11150_10_19",NA,NA,NA,NA,NA
"ARNO4","Artemisia nova","Black sagebrush","11150_10_19",NA,NA,NA,NA,NA
"HECO26","Hesperostipa comata","Needle and thread","11150_10_19",NA,NA,NA,NA,NA
"ACHY","Achnatherum hymenoides","Indian ricegrass","11150_10_19",NA,NA,NA,NA,NA
"ELEL5","Elymus elymoides","Squirreltail","11150_10_19",NA,NA,NA,NA,NA
"PLJA","Pleuraphis jamesii","James' galleta","11150_10_19",NA,NA,NA,NA,NA
"JUOS","Juniperus osteosperma","Utah juniper","11150_13",NA,NA,NA,NA,NA
"ARNO4","Artemisia nova","Black sagebrush","11150_13",NA,NA,NA,NA,NA
"HECO26","Hesperostipa comata","Needle and thread","11150_13",NA,NA,NA,NA,NA
"ACHY","Achnatherum hymenoides","Indian ricegrass","11150_13",NA,NA,NA,NA,NA
"ELEL5","Elymus elymoides","Squirreltail","11150_13",NA,NA,NA,NA,NA
"PLJA","Pleuraphis jamesii","James' galleta","11150_13",NA,NA,NA,NA,NA
"JUOS","Juniperus osteosperma","Utah juniper","11150_14",NA,NA,NA,NA,NA
"ARNO4","Artemisia nova","Black sagebrush","11150_14",NA,NA,NA,NA,NA
"HECO26","Hesperostipa comata","Needle and thread","11150_14",NA,NA,NA,NA,NA
"ACHY","Achnatherum hymenoides","Indian ricegrass","11150_14",NA,NA,NA,NA,NA
"ELEL5","Elymus elymoides","Squirreltail","11150_14",NA,NA,NA,NA,NA
"PLJA","Pleuraphis jamesii","James' galleta","11150_14",NA,NA,NA,NA,NA
"JUOS","Juniperus osteosperma","Utah juniper","11150_15_16_23_24",NA,NA,NA,NA,NA
"JUOC","Juniperus occidentalis","Western juniper","11150_15_16_23_24",NA,NA,NA,NA,NA
"BOGR2","Bouteloua gracilis","Blue grama","11150_15_16_23_24",NA,NA,NA,NA,NA
"JUOS","Juniperus osteosperma","Utah juniper","11150_17",NA,NA,NA,NA,NA
"ARNO4","Artemisia nova","Black sagebrush","11150_17",NA,NA,NA,NA,NA
"HECO26","Hesperostipa comata","Needle and thread","11150_17",NA,NA,NA,NA,NA
"ACHY","Achnatherum hymenoides","Indian ricegrass","11150_17",NA,NA,NA,NA,NA
"ELEL5","Elymus elymoides","Squirreltail","11150_17",NA,NA,NA,NA,NA
"PLJA","Pleuraphis jamesii","James' galleta","11150_17",NA,NA,NA,NA,NA
"JUOS","Juniperus osteosperma","Utah juniper","11150_21_22",NA,NA,NA,NA,NA
"JUOC","Juniperus occidentalis","Western juniper","11150_21_22",NA,NA,NA,NA,NA
"BOGR2","Bouteloua gracilis","Blue grama","11150_21_22",NA,NA,NA,NA,NA
"JUOS","Juniperus osteosperma","Utah juniper","11150_28",NA,NA,NA,NA,NA
"JUOC","Juniperus occidentalis","Western juniper","11150_28",NA,NA,NA,NA,NA
"BOGR2","Bouteloua gracilis","Blue grama","11150_28",NA,NA,NA,NA,NA
"JUDE","Juncus debilis","Weak rush","11160_15_25",NA,NA,NA,NA,NA
"PIED","Pinus edulis","Twoneedle pinyon","11160_15_25",NA,NA,NA,NA,NA
"PIDI3","Pinus discolor","Border pinyon","11160_15_25",NA,NA,NA,NA,NA
"QUAR","Quercus arizonica","Arizona white oak","11160_15_25",NA,NA,NA,NA,NA
"QUEM","Quercus emoryi","Emory oak","11160_15_25",NA,NA,NA,NA,NA
"QUGR3","Quercus grisea","Gray oak","11160_15_25",NA,NA,NA,NA,NA
"QUOB","Quercus oblongifolia","Mexican blue oak","11160_15_25",NA,NA,NA,NA,NA
"PILE","Pinus leiophylla","Chihuahuan pine","11160_15_25",NA,NA,NA,NA,NA
"JUDE","Juncus debilis","Weak rush","11160_24",NA,NA,NA,NA,NA
"PIED","Pinus edulis","Twoneedle pinyon","11160_24",NA,NA,NA,NA,NA
"PIDI3","Pinus discolor","Border pinyon","11160_24",NA,NA,NA,NA,NA
"QUAR","Quercus arizonica","Arizona white oak","11160_24",NA,NA,NA,NA,NA
"QUEM","Quercus emoryi","Emory oak","11160_24",NA,NA,NA,NA,NA
"QUGR3","Quercus grisea","Gray oak","11160_24",NA,NA,NA,NA,NA
"QUOB","Quercus oblongifolia","Mexican blue oak","11160_24",NA,NA,NA,NA,NA
"QUMO","Quercus mohriana","Mohr oak","11160_24",NA,NA,NA,NA,NA
"JUDE","Juncus debilis","Weak rush","11160_26",NA,NA,NA,NA,NA
"PIED","Pinus edulis","Twoneedle pinyon","11160_26",NA,NA,NA,NA,NA
"PICE","Pinus cembroides","Mexican pinyon","11160_26",NA,NA,NA,NA,NA
"QUAR","Quercus arizonica","Arizona white oak","11160_26",NA,NA,NA,NA,NA
"QUEM","Quercus emoryi","Emory oak","11160_26",NA,NA,NA,NA,NA
"QUGR3","Quercus grisea","Gray oak","11160_26",NA,NA,NA,NA,NA
"QUOB","Quercus oblongifolia","Mexican blue oak","11160_26",NA,NA,NA,NA,NA
"PILE","Pinus leiophylla","Chihuahuan pine","11160_26",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","11170_13_15_28",NA,NA,NA,NA,NA
"FEAR2","Festuca arizonica","Arizona fescue","11170_13_15_28",NA,NA,NA,NA,NA
"MUMO","Muhlenbergia montana","Mountain muhly","11170_13_15_28",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","11170_16_23_24",NA,NA,NA,NA,NA
"FEID","Festuca idahoensis","Idaho fescue","11170_16_23_24",NA,NA,NA,NA,NA
"PSSP6","Pseudoroegneria spicata","Bluebunch wheatgrass","11170_16_23_24",NA,NA,NA,NA,NA
"FEAR2","Festuca arizonica","Arizona fescue","11170_16_23_24",NA,NA,NA,NA,NA
"PSEUD7","Pseudotsuga","Douglas-fir","11170_16_23_24",NA,NA,NA,NA,NA
"ABCO","Abies concolor","White fir","11170_16_23_24",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","11170_20",NA,NA,NA,NA,NA
"FEID","Festuca idahoensis","Idaho fescue","11170_20",NA,NA,NA,NA,NA
"PSSP6","Pseudoroegneria spicata","Bluebunch wheatgrass","11170_20",NA,NA,NA,NA,NA
"AGROP2","Agropyron","Wheatgrass","11170_20",NA,NA,NA,NA,NA
"SCSC","Schizachyrium scoparium","Little bluestem","11170_20",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","11170_29",NA,NA,NA,NA,NA
"JUSC2","Juniperus scopulorum","Rocky mountain juniper","11170_29",NA,NA,NA,NA,NA
"RHAR4","Rhus aromatica","Fragrant sumac","11170_29",NA,NA,NA,NA,NA
"PSSP6","Pseudoroegneria spicata","Bluebunch wheatgrass","11170_29",NA,NA,NA,NA,NA
"PASM","Pascopyrum smithii","Western wheatgrass","11170_29",NA,NA,NA,NA,NA
"CAREX","Carex","Sedge","11170_29",NA,NA,NA,NA,NA
"SCSC","Schizachyrium scoparium","Little bluestem","11170_29",NA,NA,NA,NA,NA
"QUMA2","Quercus macrocarpa","Bur oak","11170_29",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","11170_33",NA,NA,NA,NA,NA
"ACHNA","Achnatherum","Needlegrass","11170_33",NA,NA,NA,NA,NA
"FEAR2","Festuca arizonica","Arizona fescue","11170_33",NA,NA,NA,NA,NA
"QUGA","Quercus gambelii","Gambel oak","11170_33",NA,NA,NA,NA,NA
"MUMO","Muhlenbergia montana","Mountain muhly","11170_33",NA,NA,NA,NA,NA
"CEMO2","Cercocarpus montanus","Alderleaf mountain mahogany","11170_33",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","11171_27",NA,NA,NA,NA,NA
"NAVI4","Nassella viridula","Green needlegrass","11171_27",NA,NA,NA,NA,NA
"FEAR2","Festuca arizonica","Arizona fescue","11171_27",NA,NA,NA,NA,NA
"QUGA","Quercus gambelii","Gambel oak","11171_27",NA,NA,NA,NA,NA
"MUMO","Muhlenbergia montana","Mountain muhly","11171_27",NA,NA,NA,NA,NA
"CEMO2","Cercocarpus montanus","Alderleaf mountain mahogany","11171_27",NA,NA,NA,NA,NA
"BOCU","Bouteloua curtipendula","Sideoats grama","11171_27",NA,NA,NA,NA,NA
"SCSC","Schizachyrium scoparium","Little bluestem","11171_27",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","11172_27",NA,NA,NA,NA,NA
"ACHNA","Achnatherum","Needlegrass","11172_27",NA,NA,NA,NA,NA
"FEAR2","Festuca arizonica","Arizona fescue","11172_27",NA,NA,NA,NA,NA
"QUGA","Quercus gambelii","Gambel oak","11172_27",NA,NA,NA,NA,NA
"MUMO","Muhlenbergia montana","Mountain muhly","11172_27",NA,NA,NA,NA,NA
"CEMO2","Cercocarpus montanus","Alderleaf mountain mahogany","11172_27",NA,NA,NA,NA,NA
"QUAG","Quercus agrifolia","California live oak","11180_4",NA,NA,NA,NA,NA
"QUEN","Quercus engelmannii","Engelmann oak","11180_4",NA,NA,NA,NA,NA
"JUCA","Juglans californica","Southern california  walnut","11180_4",NA,NA,NA,NA,NA
"ARCA11","Artemisia californica","Coastal sagebrush","11180_4",NA,NA,NA,NA,NA
"ERFA2","Eriogonum fasciculatum","Eastern mojave buckwheat","11180_4",NA,NA,NA,NA,NA
"TODI","Toxicodendron diversilobum","Pacific poison oak","11180_4",NA,NA,NA,NA,NA
"RHIL","Rhamnus ilicifolia","Hollyleaf redberry","11180_4",NA,NA,NA,NA,NA
"HEAR5","Heteromeles arbutifolia","Toyon","11180_4",NA,NA,NA,NA,NA
"PIED","Pinus edulis","Twoneedle pinyon","11190_24_25",NA,NA,NA,NA,NA
"JUMO","Juniperus monosperma","Oneseed juniper","11190_24_25",NA,NA,NA,NA,NA
"JUSC2","Juniperus scopulorum","Rocky mountain juniper","11190_24_25",NA,NA,NA,NA,NA
"BOGR2","Bouteloua gracilis","Blue grama","11190_24_25",NA,NA,NA,NA,NA
"PLJA","Pleuraphis jamesii","James' galleta","11190_24_25",NA,NA,NA,NA,NA
"YUCCA","Yucca","Yucca","11190_24_25",NA,NA,NA,NA,NA
"JUDE","Juncus debilis","Weak rush","11190_26",NA,NA,NA,NA,NA
"JUMO","Juniperus monosperma","Oneseed juniper","11190_26",NA,NA,NA,NA,NA
"JUSC","Juncus scirpoides","Needlepod rush","11190_26",NA,NA,NA,NA,NA
"PIED","Pinus edulis","Twoneedle pinyon","11190_26",NA,NA,NA,NA,NA
"PICE","Pinus cembroides","Mexican pinyon","11190_26",NA,NA,NA,NA,NA
"QUGA","Quercus gambelii","Gambel oak","11190_26",NA,NA,NA,NA,NA
"PIFI","Piptochaetium fimbriatum","Pinyon ricegrass","11190_26",NA,NA,NA,NA,NA
"BOGR2","Bouteloua gracilis","Blue grama","11190_26",NA,NA,NA,NA,NA
"PIED","Pinus edulis","Twoneedle pinyon","11190_27",NA,NA,NA,NA,NA
"JUMO","Juniperus monosperma","Oneseed juniper","11190_27",NA,NA,NA,NA,NA
"JUSC2","Juniperus scopulorum","Rocky mountain juniper","11190_27",NA,NA,NA,NA,NA
"BOGR2","Bouteloua gracilis","Blue grama","11190_27",NA,NA,NA,NA,NA
"PLJA","Pleuraphis jamesii","James' galleta","11190_27",NA,NA,NA,NA,NA
"YUCCA","Yucca","Yucca","11190_27",NA,NA,NA,NA,NA
"PIED","Pinus edulis","Twoneedle pinyon","11190_28",NA,NA,NA,NA,NA
"JUMO","Juniperus monosperma","Oneseed juniper","11190_28",NA,NA,NA,NA,NA
"JUSC2","Juniperus scopulorum","Rocky mountain juniper","11190_28",NA,NA,NA,NA,NA
"BOGR2","Bouteloua gracilis","Blue grama","11190_28",NA,NA,NA,NA,NA
"PLJA","Pleuraphis jamesii","James' galleta","11190_28",NA,NA,NA,NA,NA
"YUCCA","Yucca","Yucca","11190_28",NA,NA,NA,NA,NA
"JUPI","Juniperus pinchotii","Pinchot's juniper","11190_34",NA,NA,NA,NA,NA
"JUMO","Juniperus monosperma","Oneseed juniper","11190_34",NA,NA,NA,NA,NA
"PRGL2","Prosopis glandulosa","Honey mesquite","11190_34",NA,NA,NA,NA,NA
"RHAR4","Rhus aromatica","Fragrant sumac","11190_34",NA,NA,NA,NA,NA
"BOCU","Bouteloua curtipendula","Sideoats grama","11190_34",NA,NA,NA,NA,NA
"BOGR2","Bouteloua gracilis","Blue grama","11190_34",NA,NA,NA,NA,NA
"SCSC","Schizachyrium scoparium","Little bluestem","11190_34",NA,NA,NA,NA,NA
"QUGA4","Quercus garryana","Oregon white oak","11200_1_2_7",NA,NA,NA,NA,NA
"FERO","Festuca roemeri","Roemer's fescue","11200_1_2_7",NA,NA,NA,NA,NA
"DACA3","Danthonia californica","California oatgrass","11200_1_2_7",NA,NA,NA,NA,NA
"BOUTE","Bouteloua","Grama","11210_14",NA,NA,NA,NA,NA
"LATR2","Larrea tridentata","Creosote bush","11210_14",NA,NA,NA,NA,NA
"MUPO2","Muhlenbergia porteri","Bush muhly","11210_14",NA,NA,NA,NA,NA
"PLMU3","Pleuraphis mutica","tobosagrass","11210_14",NA,NA,NA,NA,NA
"ARIST","Aristida","Threeawn","11210_14",NA,NA,NA,NA,NA
"ISTE2","Isocoma tenuisecta","Burroweed","11210_14",NA,NA,NA,NA,NA
"ACACI","Acacia","Acacia","11210_14",NA,NA,NA,NA,NA
"OPUNT","Opuntia","Pricklypear","11210_14",NA,NA,NA,NA,NA
"BOUTE","Bouteloua","Grama","11210_15",NA,NA,NA,NA,NA
"LATR2","Larrea tridentata","Creosote bush","11210_15",NA,NA,NA,NA,NA
"MUPO2","Muhlenbergia porteri","Bush muhly","11210_15",NA,NA,NA,NA,NA
"PLMU3","Pleuraphis mutica","Tobosagrass","11210_15",NA,NA,NA,NA,NA
"ARIST","Aristida","Threeawn","11210_15",NA,NA,NA,NA,NA
